user_id,event_type,event_time,product_id,user_id_masked,event_date
U0099,checkout,2023-06-03 04:13:00,P010,U_0efbaba1,2023-06-03
U0240,wishlist_add,2023-06-03 05:08:00,P020,U_8a132e9c,2023-06-03
U0374,profile_update,2023-06-05 06:22:00,P028,U_8628c167,2023-06-05
U0122,page_view,2023-06-06 03:45:00,P001,U_3d768c48,2023-06-06
U0211,wishlist_add,2023-06-03 12:38:00,P015,U_f529f8d9,2023-06-03
U0208,login,2023-06-04 03:13:00,P018,U_43efb0dc,2023-06-04
U0327,checkout,2023-06-06 08:16:00,P006,U_4dea30e1,2023-06-06
U0056,profile_update,2023-06-05 03:26:00,P026,U_2215a76f,2023-06-05
U0063,wishlist_add,2023-06-06 08:09:00,P010,U_0c73be13,2023-06-06
U0131,search,2023-06-02 00:29:00,P026,U_c0fb8921,2023-06-02
U0100,checkout,2023-06-02 09:02:00,P029,U_f07be427,2023-06-02
U0218,add_to_cart,2023-06-03 06:23:00,P012,U_9624c3fd,2023-06-03
U0144,add_to_cart,2023-06-05 22:38:00,P027,U_0ed9647f,2023-06-05
U0116,profile_update,2023-06-04 23:33:00,P007,U_ebd002dc,2023-06-04
U0032,profile_update,2023-06-02 12:51:00,P008,U_28e89685,2023-06-02
U0341,page_view,2023-06-03 08:43:00,P025,U_b9ebfb33,2023-06-03
U0033,page_view,2023-06-04 20:55:00,P004,U_5ecfe87b,2023-06-04
U0317,profile_update,2023-06-04 15:52:00,P024,U_d5c45662,2023-06-04
U0007,wishlist_add,2023-06-03 18:11:00,P014,U_d3ee6af9,2023-06-03
U0070,wishlist_add,2023-06-05 12:52:00,P020,U_037d34c1,2023-06-05
U0048,search,2023-06-02 16:28:00,P024,U_f88de2f1,2023-06-02
U0367,add_to_cart,2023-06-04 09:10:00,P003,U_32e21b3d,2023-06-04
U0170,wishlist_add,2023-06-01 17:47:00,P015,U_8cc7216f,2023-06-01
U0262,wishlist_add,2023-06-05 14:57:00,P019,U_76bc9c0c,2023-06-05
U0269,login,2023-06-05 05:24:00,P004,U_db87ea53,2023-06-05
U0251,page_view,2023-06-06 14:23:00,P011,U_9b6188dd,2023-06-06
U0377,search,2023-06-04 22:12:00,P014,U_a64b59b8,2023-06-04
U0145,profile_update,2023-06-02 02:18:00,P003,U_9855decc,2023-06-02
U0312,page_view,2023-06-04 20:16:00,P020,U_a93614d1,2023-06-04
